{134}yangchunbudeze 阳春布德泽
{596}yanghuachoushadujiangren 扬花愁杀渡江人
{628}yanghualuojinziguiti 杨花落尽子规啼
{212}yangyizhifu 养怡之福
{597}yangzijiangtouyangliuchun 扬子江头杨柳春
{260}yaotiaoshunv 窈窕淑女
{431}yaowozhitianjia 邀我至田家
{155}yaoyaozhongshengwan 杳杳钟声晚
{163}yeduwurenzhouziheng 野渡无人舟自横
{169}yefaqingxixiangsanxia 夜发清溪向三峡
{251}yejiaxinyanzhuochunni 夜家新燕啄春泥
{395}yelainanfengqi 夜来南风起
{2}yelanwotingfengchuiyu 夜阑卧听风吹雨
{32}yeyinyingjueyueguanghan 夜吟应觉月光寒
{603}yeyujibei 夜雨寄北
{347}yichouchu 意踌蹰
{306}yiguzuoqi 一鼓作气
{580}yiguancanghai 以观沧海
{631}yiguanjianpugufengcun 衣冠简朴古风存
{558}yilanzhongshanxiao 一览众山小
{89}yipoguilairi 毅魄归来日
{201}yiquxincijiuyibei 一曲新词酒一杯
{58}yirenqunfangdu 一任群芳妒
{193}yishanfangchuyishanlan 一山放出一山拦
{61}yishihuanghunduzichou 已是黄昏独自愁
{63}yiwaiduanqiaobian 驿外断桥边
{318}yiyiwosuoyuye 义亦我所欲也
{138}yizhanbuzuxi 衣沾不足惜
{91}yizhiquanlujin 已知泉路近
{355}yinbiandongzhijitianya 吟鞭东指即天涯
{547}yinjiu 饮酒
{560}yinyanggehunxiao 阴阳割昏晓
{49}yingdeshengqianshenhouming 嬴得生前身后名
{230}yingdeshengqianshenhouming 赢得生前身后名
{170}yingrupingqiangjiangshuiliu 影入平羌江水流
{214}yingsuozhiqi 盈缩之期
{104}yingtusuiwoshen 影徒随我身
{503}yingyingyishuijian 盈盈一水间
{97}yongjiewuqingyou 永结无情游
{307}yongqiye 勇气也
{67}youanxiangyingxiu 有暗香盈袖
{37}youhefang 又何妨
{279}youlongzeling 有龙则灵
{340}youpengziyuanfanglai 有朋自远方来
{407}youqishuiqingquansi 游蕲水清泉寺
{45}youqingcang 右擎苍
{541}youranjiannanshan 悠然见南山
{424}youshanxicun 游山西村
{383}youshoubingyisui 右手秉遗穗
{221}youyoujingshi 猷有竟时
{150}youyuebulaiguoyeban 有约不来过夜半
{42}yubaoqingchengsuitaishou 欲报倾城随太守
{625}yubianyiwangyan 欲辨已忘言
{90}yubieguxiangnan 欲别故乡难
{271}yuduailianzhichuyunierburan 予独爱莲之出淤泥而不染
{121}yujiwuzhouji 欲济无舟楫
{417}yujiaao 渔家傲
{442}yujiaorumaweiduanjue 雨脚如麻未断绝
{588}yujunlibieyi 与君离别意
{19}yushangqingtianlanmingyue 欲上青天揽明月
{323}yuwosuoyuye 鱼我所欲也
{298}yuyouqiuyuwoye 欲有求于我也
{70}yuzhenshachu 玉枕纱橱
{286}yuanmingsanshengleizhanshang 猿鸣三声泪沾裳
{293}yuanxianchen 远贤臣
{296}yuanxiaoren 远小人
{105}yuejibujieyin 月既不解饮
{496}yuexiafeitianjing 月下飞天镜
{235}yueyouyinqingyuanque 月有阴晴圆缺
{177}yuncongchuanglichu 云从窗里出
{495}yunshengjiehailou 云生结海楼
{305}zaiershuai 再而衰
{261}zaihezhizhou 在河之洲
{272}zaihushanshuizhijianye 在乎山水之间也
{255}zaishuiyifang 在水一方
{81}zaishuizhimei 在水之湄
{76}zaishuizhisi 在水之涘
{103}zanbanyuejiangying 暂伴月将影
{604}zanpingbeijiuzhangjingshen 暂凭杯酒长精神
{529}zaochunchengshuibuzhangshibayuanwai 早春呈水部张十八员外
{561}zaohuazhongshenxiu 造化钟神秀
{327}zeqishanzheercongzhi 择其善者而从之
{508}zhazhanongjizhu 札札弄机杼
{135}zhaoludairixi 朝露待日晞
{370}zhejichenshatieweixiao 折戟沉沙铁未销
{188}zhengduzhengdu 争渡争渡
{194}zhengruwanshanquanzili 正入万山圈子里
{159}zhengshijiangnanhaofengjing 正是江南好风景
